852932		3
938157		3
393096		7
618414		5
518889		8
92616		7
1071882		6
61664		8
726772		10
538875		6
754114		5
20641		5
746954		3
40956		4
770853		8
92682		7
767633		6
1115709		7
673245		8
721221		2
237376		3
991176		2
262382		4
92643		7
1057972		8
87856		1
816214		2
592974		8
932465		5
280549		7
21187		5
18060		2
171056		4
247263		4
394906		7
593425		8
832014		8
268238		8
76735		3
841846		7
904280		10
139836		8
262184		4
121652		2
903815		4
1063195		7
716646		2
692770		7
574319		4
1092337		8
191882		8
535193		3
818566		8
92971		3
550058		7
839408		6
818626		8
859902		4
358774		9
818713		8
1072867		6
991619		2
370446		10
115255		10
967870		7
598776		4
860909		3
321773		5
1021235		6
892958		8
924069		8
677811		3
106211		3
252328		3
509834		3
692629		7
870007		8
584843		7
368050		8
518673		8
318130		5
1079384		2
216537		3
460166		8
312736		7
1076963		3
1015066		8
1085286		6
727404		10
593432		8
419938		2
717014		2
486337		6
1009952		7
275051		8
668793		3
718043		2
89861		3
521636		3
862751		8
549114		4
567442		10
889351		8
1012879		8
457678		8
788067		2
118858		2
419212		8
121108		2
881533		8
283411		7
421979		8
449932		5
293381		8
510845		9
717653		10
339325		8
1026632		9
130835		7
22391		4
978821		8
589925		3
885669		4
720285		10
596214		3
1057975		8
562225		8
493097		4
856894		6
467835		6
190194		10
328326		8
258264		8
438730		8
218401		8
168109		6
490963		6
548700		6
535076		5
1003397		2
273172		3
551478		4
484617		8
545860		4
692642		7
878883		4
322694		3
539800		6
261322		8
512150		7
1111111		8
172230		7
617697		7
89641		1
92729		7
847985		1
984863		10
607368		8
421538		2
392998		7
262569		7
721858		10
892972		8
1089726		3
778511		8
257799		6
468731		7
92424		7
740213		8
967835		7
1057720		6
467534		6
320140		5
549664		6
967869		7
1072941		7
1021797		6
111954		2
758727		3
988586		2
53728		10
796456		8
619490		5
767185		6
92723		7
340806		4
718384		2
1007926		2
269954		8
794240		6
742914		7
818639		8
989156		2
719136		2
849042		10
197080		4
180973		5
422808		10
393059		7
593044		8
552113		4
1040229		6
635512		4
643966		8
1030977		7
204825		3
197237		3
475938		4
889294		3
967735		7
400534		3
914966		5
1062176		8
908033		10
247059		4
194328		6
532078		8
476336		3
717629		2
467625		6
897081		8
152154		5
818699		8
1014987		9
606196		9
839043		6
890883		8
75512		4
800555		2
501165		1
108636		10
321836		5
257618		6
444544		3
281852		4
1092430		3
777966		9
492166		5
728918		5
767605		6
320355		7
818692		8
918908		8
964967		1
663772		8
279160		8
64467		3
653853		1
511552		4
747224		8
452773		5
597476		8
192027		8
1086269		6
238618		6
719967		2
310831		8
892924		8
329015		9
611829		8
248860		6
778926		3
770974		4
1114522		8
1023857		10
261324		8
261326		8
201622		3
11728		7
92708		7
874350		4
573146		3
423839		2
416120		2
321354		5
769591		6
92444		7
1109756		8
393101		7
575161		4
393139		7
842221		7
716807		2
118963		10
92724		7
1027191		8
620878		5
38956		9
507600		8
962968		8
721744		8
870961		2
170919		8
851		9
426161		2
78389		4
518676		8
1090578		4
20754		5
100013		7
447151		2
197069		4
991045		2
614743		10
157992		2
801645		7
617073		4
181687		2
440452		3
797208		3
420316		2
692914		7
1042975		4
724556		5
171021		10
467102		6
593457		8
518801		8
428836		10
478918		4
27812		9
827850		9
364714		3
547812		8
550450		7
626449		2
1111586		8
815879		10
559139		8
419463		2
751500		9
800252		2
111917		2
