786537			210529			
786537			524441			
786537			577669			
786537			947610			
786537			1036262			
696629			649121			
696629			649121			
819627			137145			
819627			736666			
819627			999434			
701857			956766			
1466842			259379			
968394			259721			
968394			482430			
968394			744626			
968394			807718			
968394			905405			
295425			797628			
1406757			415568			
1406757			1056997			
975383			634432			
975383			634432			
1008252			205648			
1008252			205648			
221296			920605			
221296			996534			
1269555			48068			
1269555			48068			
467744			158475			
1297207			797628			
877458			39361			
877458			436939			
877458			558417			
877458			1107262			
1123308			137277			
1145694			388862			
205899			259721			
205899			482430			
205899			744626			
205899			807718			
205899			905405			
1431133			920605			
1431133			996534			
877753			210529			
877753			524441			
877753			577669			
877753			947610			
877753			1036262			
287940			649142			
771342			821443			
402729			328339			
525656			373074			
525656			813021			
255422			611438			
255422			968126			
869409			348951			
869409			935787			
99851			45312			
99851			820353			
99851			984130			
1193573			530713			
1193573			536234			
1193573			637025			
1193573			766444			
542327			413835			
542327			714612			
542327			784685			
542327			1045358			
1353524			210529			
1353524			524441			
1353524			577669			
1353524			947610			
1353524			1036262			
247634			766526			
698228			530713			
698228			536234			
698228			637025			
698228			766444			
1192276			998057			
256079			284584			
952627			269594			
952627			269594			
952627			269594			
51617			714172			
212040			52725			
682653			1013349			
1018541			39361			
1018541			436939			
1018541			558417			
1018541			1107262			
730928			114301			
730928			114301			
730928			114301			
730928			164330			
730928			164330			
730928			164330			
730928			166684			
730928			166684			
730928			166684			
730928			166703			
730928			166703			
730928			166703			
730928			317698			
730928			317698			
730928			317698			
730928			323624			
730928			323624			
730928			323624			
969616			281541			
969616			766984			
60339			256323			
183303			198602			
183303			1043585			
35886			277326			
896114			259403			
1346714			467070			
1346714			467070			
1346714			479558			
1346714			479558			
609445			456448			
1060076			530713			
1060076			536234			
1060076			637025			
1060076			766444			
1095064			114303			
1095064			114303			
1095064			415757			
1095064			415757			
1095064			714026			
1095064			714026			
1095064			714672			
1095064			714672			
1095064			983176			
1095064			983176			
1095064			983223			
1095064			983223			
1095064			984013			
1095064			984013			
1095064			1005750			
1095064			1005750			
343276			342675			
1093428			822505			
1207725			198602			
1207725			198602			
1207725			1043585			
1207725			1043585			
883957			530713		
883957			536234			
883957			637025			
883957			766444			

